atlas_telephely_id,partner/külső_id,hermes_telephely_id,partner_telephely_kulso_id,partner_nev_hermes,telepules_hermes,kozterulet_nev_hermes,kozterulet_jelleg_hermes,hazszam_hermes
1007087,1034703,9594784,1007087,TE-DI TRADE Kft.,Szekszárd,Bogyiszlói,út,7
1007398,1034487,1237380,1007398,PINCE Termeltetési és Kereskedelmi Kft.,Tiszafüred,Igari,utca,39
1006549,1326439,1775642,1006549,Vörösvár Kft.,Budapest,Miklós,utca,8
1005595,1033601,1775859,1005595,Aqua Vital Interker Kft,Gyöngyös,Kossuth,utca,16
1007319,1034607,1953057,1007319,Planet Line Hungary Kft.,Nyíregyháza,Kiss Ernő,utca,5-7
1007019,1033863,2068021,1007019,Dvori Baromfi Kft.,Budapest,Ipacsfa,utca,8
1007024,1034623,2326332,1007024,Spectrum Brands Hungaria Kft.,Budapest,Ady Endre,út,42-44
1007363,1034647,2533585,1007363,Szamos Marcipán Édesipari Termelő és Kereskedelmi Kft.,Pilisvörösvár,Szent Erzsébet,utca,109
1005852,1034739,2804131,1005852,Tündérkert Trading kft,Mórahalom,Tavasz,utca,2
1007083,1034705,2845975,1007083,Tellér Kft.,Budapest,Nagykőrösi,út,353
1006085,1034209,2915192,1006085,Kovács László ev.,Takácsi,Marcaltői,utca,4
1006522,1034479,3107825,1006522,Pernod Ricard Hungary Kft.,Budapest,Kapás,utca,6-12
1006917,1033839,3327447,1006917,DP Drinks Professional Distribution Kft.,Budapest,Madarász Viktor,utca,47-49
1006958,1034743,3349301,1006958,Twinner Hungária Kft.,Budapest,Károlyi Sándor,út,158
1006178,1387990,3617915,1006178,Summa-Meat Factory Kft.,Üllő,Lóránth Gyula,utca,8
1005242,1033575,3807184,1005242,AGRANA Sales&Marketing GmbH.,Bécs,Friedrich-Willhelm-Raiffeisen,tér,1
1006403,1034075,3968274,1006403,Hellas-Invest Kft.,Törökbálint,Raktárvárosi,út,
1006577,1034109,4007257,1006577,Hun-Trade Kft,Budapest,Jutas,utca,120
1006941,1033591,4753775,1006941,Alufix Ungarn Ipari Kft.,Budapest,Stefánia,út,75
1005788,1034613,5043306,1005788,Sofidel Hungary Kft.,Lábatlan,Rákóczi Ferenc,út,159
