atlas_partner_id,nev,partner_telephely_id,telepules,kozterulet_nev,kozterulet_jelleg,hazszam,epulet,lepcsohaz,emelet,szekhely,ajto,helyrajzi_szam
1326439,Nógrádi,1006858,Budapest,Nógrádi,utca,39,,,,False,,
1326439,Cba Dunavirág,1006866,Budapest,Dunavirág,utca,1,,,,False,,
1326439,Vörösvár Kft.,1006868,Budapest,Reitter Ferenc,utca,107,,,,False,,
1034415,Nyerthús ,1006869,Budapest,Topolya,utca,4-8,,,,True,,
1033919,Ferrero Magyarország Kft.,1006875,Budapest,Váci,út,76,,,,True,,
1033961,FrieslandCampina Hungária ZRt.,1006880,Budapest,Váci,út,33,,,,True,,
1033815,Danone Kft.,1006881,Budapest,Váci,út,35,,,,True,,
1033731,Bunge ZRt.,1006882,Budapest,Váci,út,43,,,,True,,
1033667,Bijó Kft.,1006887,Budapest,Róbert Károly,körút,96-100,,,,True,,
1034079,Herbária Zrt.,1006888,Budapest,Csata,utca,27,,,,True,,
1389909,M PROFOOD Zrt.,1006893,Budapest,Reitter Ferenc,utca,63/b.,,,,True,,
1034233,Lactalis Hungária Kft.,1006913,Budapest,Váci,út,182,,,,True,,
1034761,FLORA FOOD GROUP KFT.,1006915,Budapest,Váci,út,91,,,,True,,
1033839,DP Drinks Professional Distribution Kft.,1006917,Budapest,Madarász Viktor,utca,47-49,,,,True,,
1389885,DunaPro Brands Kft.,1006919,Budapest,Madarász Viktor,utca,47-49.,,,7.,True,1.,
1033565,Adalékmentesen Kft.,1006920,Budapest,Révész,utca,2,B3,,,True,,
1389487,ESPRESSOSHOP.HU KFT.,1006922,Budapest,Népsziget,sziget,25992/1,18,,2,True,4,
1033591,Alufix Ungarn Ipari Kft.,1006941,Budapest,Stefánia,út,75,,,,True,,
1033559,A Csokoládés Kft.,1006944,Budapest,Ond Vezér,út,5-7,,,,True,,
1034819,Volmix Kft.,1006950,Budapest,Thököly,út,76,,,,True,,
1326439,Récsei,1006952,Budapest,Szabó József,utca,6,,,,False,,
1326439,Fogarasi,1006955,Budapest,Fogarasi,út,45-51,,,,False,,
1034743,Twinner Hungária Kft.,1006958,Budapest,Károlyi Sándor,út,158,,,,True,,
1326439,Cba Páskomliget,1006969,Budapest,Páskomliget,utca,49,,,,False,,
1033777,Comendis Kft,1006974,Budapest,Késmárk,utca,11-13,,,,True,,
1034529,Rákóczi-Delikát Kft,1006980,Budapest,Bekecs,utca,22,,,,True,,
1034097,HTS-ART Nyomdaipari és Szolgáltató Kft.,1006984,Budapest,Cziráki,utca,26-32,,,,True,,
1034531,Rauch Hungária Kft.,1006996,Budapest,Kiskároshíd,utca,,,,,True,,
1033803,Csom 2001 Kft.,1007009,Budapest,Zádor,utca,16,,,,True,,
1033863,Dvori Baromfi Kft.,1007019,Budapest,Ipacsfa,utca,8,,,,True,,
1388000,Coco Trade Kft.,1007022,Budapest,Kőrisfa,utca,4,,,2,True,5,
1034623,Spectrum Brands Hungaria Kft.,1007024,Budapest,Ady Endre,út,42-44,,,,True,,
1388004,VARTA Consumer Hungaria Kft.,1007025,Budapest,Ady Endre,út,42-44,,,,True,,
1034513,Prima Maroni Kft.,1007042,Budapest,Déli Bekötő,út,8,,,,True,,
1390011,VINO GUSTO MOGYORÓKRÉM Kft.,1007045,Budapest,Petz Ferend,utca,2.,C.,,4.,True,28.,
1033905,Fackelmann Hungária Kft.,1007046,Budapest,Szállító,utca,6,,,,True,,
1034127,ISH Food,1007064,Budapest,Nagytétényi,út,112,,,,True,,
1034733,Törley Pezsgőpincészet Kft.,1007068,Budapest,Háros,utca,2-6,,,,True,,
1034773,Varga Pincészet Kft.,1007071,Budapest,Szigetvári,utca,7,,,,True,,
1033993,Garafarm Trade Kft.,1007073,Budapest,Dézsmaház,utca,19,,,,True,,
1034705,Tellér Kft.,1007083,Budapest,Nagykőrösi,út,353,,,,True,,
1034703,TE-DI TRADE Kft.,1007087,Szekszárd,Bogyiszlói,út,7,,,,False,,
1034725,Tolnatej ZRt.,1007089,Szekszárd,Keselyűsi,út,26,,,,True,,
1033861,Dúzsi Tamás és Családja Szegzárdi Borászati Kft.,1007092,Szekszárd,Bor,utca,47,,,,True,,
1033691,Bodri Pincészet Kft.,1007109,Szekszárd,Vitéz,utca,1,,,,True,,
1034589,Savencia F&D HU ZRt.,1007111,Zalaegerszeg,Platán,sor,6,,,,True,,
1034111,Húsüzem Kft.,1007112,Zalaegerszeg,Gazdaság,utca,26,,,,True,,
1033805,Csongrádbor Kft.,1007117,Csongrád,Aradi,utca,14,,,,True,,
1034053,"Hansa-Kontakt élelm, ital, dohányáru nagyker-kisker.",1007120,Csongrád,Rév I,utca,12,,,,False,,
1034735,Tranzit-Food Kft.,1007144,Debrecen,Simonyi,út,23,,,,True,,
1390012,Marnevall Zrt.,1007147,Debrecen,Diószegi,út,13.,,,,True,,
1033773,Coca-Cola HBC Magyarország Kft.,1007175,Dunaharaszti,Némedi,út,104,,,,True,,
1034699,Tebike Kft,1007205,Győr,Csanaki,út,15,,,,True,,
1387980,M Frozen Kft.,1007209,Győr,Schwarzenberg,út,2-4,,3,fsz,True,2,
1034345,Mir-Ker Kft.,1007211,Győr,Schwarzenberg,utca,2-4,,,,True,,
1033753,Ceres Sütőipari Zártkörűen Működő Részvénytársaság (Ceres Zrt.),1007220,Győr,Reptéri,út,1,,,,True,,
1034039,Győri Likőr Zrt.,1007222,Győr,Budai,utca,7,,,,True,,
1033909,Farm Tojás Kft.,1007225,Győr,Tárogató,utca,9,,,,True,,
1034759,Univer-Product Zrt.,1007234,Kecskemét,Szolnoki,út,35,,,,True,,
1034053,Hansa Italdiszkont - Kecskemét,1007237,Kecskemét,Bodzai,utca,1,,,,False,,
1034643,Sza-Co Kft,1007239,Kecskemét,Izzó,utca,2,,,,True,,
1034703,Tej-Hús Nagyker,1007246,Kecskemét,Vasút,utca,8,,,,False,,
1034303,Master Good Kft.,1007255,Kisvárda,Ipari,út,9,,,,True,,
